0,[0, 21, 33, 87, 6]
1,[1, 5, 53, 163, 19]
2,[1, 16, 68, 129, 11]
3,[0, 23, 58, 226, 19]
4,[0, 25, 100, 87, 8]
5,[1, 13, 96, 50, 19]
6,[0, 27, 25, 22, 16]
7,[0, 21, 98, 140, 2]
8,[1, 17, 79, 120, 17]
9,[1, 27, 134, 39, 3]
10,[0, 4, 88, 186, 7]
11,[0, 10, 70, 186, 18]
12,[1, 21, 105, 59, 19]
13,[0, 26, 12, 58, 3]
14,[1, 0, 122, 79, 7]
15,[0, 5, 53, 169, 12]
16,[1, 9, 110, 137, 0]
17,[0, 7, 73, 38, 16]
18,[1, 11, 3, 171, 20]
19,[1, 7, 65, 192, 15]
20,[1, 13, 77, 121, 3]
21,[1, 1, 7, 72, 4]
22,[1, 24, 120, 22, 10]
23,[0, 22, 126, 58, 7]
24,[1, 13, 109, 146, 3]
25,[1, 4, 113, 106, 14]
26,[0, 12, 78, 123, 3]
27,[1, 17, 26, 166, 3]
28,[0, 19, 51, 108, 1]
29,[0, 0, 55, 59, 13]
30,[1, 28, 61, 49, 20]
31,[0, 25, 32, 192, 15]
32,[0, 21, 48, 194, 5]
33,[0, 1, 21, 75, 8]
34,[1, 0, 0, 129, 18]
35,[0, 11, 60, 175, 19]
36,[1, 25, 118, 230, 8]
37,[0, 9, 30, 39, 5]
38,[1, 11, 28, 20, 14]
39,[0, 6, 20, 205, 12]
40,[0, 24, 90, 54, 11]
41,[1, 12, 34, 159, 1]
42,[1, 21, 38, 81, 19]
43,[0, 0, 124, 229, 12]
44,[0, 21, 84, 228, 19]
45,[0, 7, 8, 44, 15]
46,[1, 20, 18, 67, 5]
47,[0, 6, 89, 113, 19]
48,[0, 8, 135, 187, 12]
49,[0, 15, 129, 97, 10]
50,[0, 0, 78, 218, 17]
51,[0, 4, 8, 164, 12]
52,[1, 3, 74, 35, 13]
53,[1, 9, 136, 21, 19]
54,[0, 11, 127, 155, 15]
55,[1, 1, 31, 213, 9]
56,[1, 29, 62, 120, 15]
57,[1, 28, 82, 184, 5]
58,[0, 4, 125, 21, 6]
59,[0, 6, 12, 118, 11]
60,[0, 1, 110, 172, 18]
61,[0, 21, 92, 24, 18]
62,[0, 16, 43, 214, 2]
63,[0, 23, 46, 195, 7]
64,[1, 3, 0, 158, 8]
65,[1, 5, 122, 26, 19]
66,[1, 25, 77, 184, 7]
67,[1, 10, 96, 179, 17]
68,[1, 15, 39, 85, 8]
69,[0, 22, 98, 148, 19]
70,[0, 11, 89, 58, 17]
71,[1, 29, 131, 28, 16]
72,[0, 11, 48, 127, 6]
73,[0, 26, 24, 165, 17]
74,[0, 29, 75, 2, 6]
75,[0, 7, 5, 35, 20]
76,[1, 0, 101, 60, 10]
77,[1, 10, 36, 34, 1]
78,[1, 26, 94, 87, 10]
79,[1, 23, 129, 212, 17]
80,[1, 0, 9, 231, 19]
81,[0, 19, 102, 135, 0]
82,[0, 19, 73, 78, 1]
83,[0, 3, 4, 67, 2]
84,[1, 5, 54, 103, 3]
85,[1, 23, 72, 129, 2]
86,[1, 9, 52, 110, 16]
87,[0, 6, 56, 113, 1]
88,[1, 23, 37, 45, 7]
89,[1, 11, 27, 124, 16]
90,[0, 8, 102, 91, 1]
91,[0, 1, 131, 149, 9]
92,[1, 7, 109, 149, 18]
93,[1, 1, 129, 75, 2]
94,[0, 6, 34, 200, 17]
95,[1, 9, 16, 201, 15]
96,[1, 5, 25, 105, 16]
97,[0, 6, 61, 158, 9]
98,[0, 15, 125, 84, 13]
99,[0, 27, 85, 144, 16]
100,[1, 3, 14, 142, 19]
101,[0, 8, 4, 101, 18]
102,[1, 3, 83, 138, 20]
103,[1, 20, 87, 205, 5]
104,[1, 18, 123, 77, 2]
105,[0, 5, 70, 187, 13]
106,[0, 28, 27, 71, 2]
107,[0, 13, 14, 103, 16]
108,[0, 13, 80, 124, 0]
109,[0, 4, 0, 231, 20]
110,[0, 11, 30, 169, 12]
111,[1, 24, 129, 79, 18]
112,[1, 28, 97, 103, 5]
113,[0, 0, 50, 164, 1]
114,[1, 26, 58, 16, 4]
115,[0, 26, 114, 221, 9]
116,[1, 15, 39, 216, 6]
117,[1, 5, 3, 30, 11]
118,[0, 20, 99, 130, 18]
119,[0, 1, 93, 181, 4]
120,[0, 22, 56, 172, 0]
121,[1, 16, 19, 46, 11]
122,[0, 23, 131, 122, 16]
123,[0, 7, 54, 204, 1]
124,[0, 12, 78, 111, 2]
125,[1, 24, 0, 37, 13]
126,[0, 16, 71, 93, 4]
127,[1, 29, 131, 35, 1]
128,[1, 0, 40, 85, 3]
129,[0, 26, 55, 166, 8]
130,[0, 9, 126, 213, 18]
131,[1, 14, 132, 200, 9]
132,[0, 21, 63, 184, 0]
133,[1, 21, 0, 120, 16]
134,[1, 29, 23, 113, 19]
135,[1, 7, 3, 44, 14]
136,[0, 5, 29, 182, 13]
137,[0, 5, 2, 120, 13]
138,[0, 23, 18, 156, 8]
139,[0, 14, 9, 81, 9]
140,[1, 28, 94, 193, 14]
141,[1, 16, 70, 173, 19]
142,[0, 9, 96, 82, 15]
143,[1, 1, 132, 92, 5]
144,[1, 18, 92, 9, 11]
145,[0, 18, 44, 142, 16]
146,[1, 13, 5, 4, 8]
147,[0, 29, 59, 112, 19]
148,[1, 14, 81, 28, 2]
149,[1, 3, 115, 170, 5]
150,[0, 27, 93, 221, 2]
151,[0, 14, 55, 188, 19]
152,[0, 16, 123, 15, 19]
153,[0, 15, 13, 2, 13]
154,[0, 27, 5, 121, 16]
155,[1, 10, 124, 110, 12]
156,[0, 0, 132, 201, 2]
157,[0, 9, 14, 171, 14]
158,[1, 22, 88, 18, 16]
159,[1, 24, 79, 27, 2]
160,[0, 20, 24, 162, 10]
161,[0, 13, 102, 29, 7]
162,[0, 9, 100, 43, 3]
163,[1, 5, 91, 204, 12]
164,[1, 17, 31, 199, 13]
165,[1, 8, 62, 103, 9]
166,[1, 8, 87, 184, 16]
167,[0, 24, 89, 49, 2]
168,[1, 9, 100, 64, 1]
169,[0, 18, 4, 232, 4]
170,[1, 18, 128, 140, 19]
171,[0, 8, 120, 181, 10]
172,[0, 11, 67, 22, 8]
173,[0, 17, 95, 87, 18]
174,[1, 22, 19, 162, 5]
175,[0, 25, 113, 142, 1]
176,[1, 9, 85, 76, 2]
177,[1, 16, 37, 56, 7]
178,[1, 10, 136, 12, 16]
179,[0, 20, 130, 88, 8]
180,[1, 13, 134, 185, 7]
181,[0, 10, 0, 204, 4]
182,[0, 26, 135, 17, 14]
183,[0, 20, 57, 69, 9]
184,[0, 12, 26, 219, 12]
185,[0, 23, 124, 213, 6]
186,[1, 16, 115, 213, 17]
187,[0, 11, 132, 61, 16]
188,[1, 9, 113, 159, 1]
189,[1, 22, 1, 69, 15]
190,[0, 20, 22, 163, 11]
191,[0, 28, 71, 105, 15]
192,[1, 12, 114, 12, 2]
193,[0, 21, 59, 33, 4]
194,[0, 19, 81, 72, 12]
